Paquet, Equip, Pressió, Altura (BMP280), Altura (Fórmula), Velocitat(BMP280), Velocitat (Fórmula), Lectura termistor, Temperatura model teòric, Temperatura model experimental, Temperatura (BMP280)
239,Alicia Sintes,103029.85,29.92,-10.26,0,0,0,0,0,24.12
240,Alicia Sintes,103030.47,29.87,-10.26,0.05,0.003699083264752545,0,0,0,24.13
241,Alicia Sintes,103030.05,30.01,-10.26,-0.14,-0.0025058281666190396,0,0,0,24.12
242,Alicia Sintes,103027.74,29.72,-10.24,0.29,-0.01378223751108898,0,0,0,24.15
243,Alicia Sintes,103029.13,29.98,-10.25,-0.26,0.00829324488019445,0,0,0,24.15
244,Alicia Sintes,103031.03,29.88,-10.26,0.1,0.011335909129734034,0,0,0,24.15
245,Alicia Sintes,103032.21,29.67,-10.27,0.21,0.00704009096744862,0,0,0,24.16
246,Alicia Sintes,103033.29,29.82,-10.28,-0.15,0.006443402420636346,0,0,0,24.16
247,Alicia Sintes,103033.97,29.58,-10.28,0.24,0.004056922429665377,0,0,0,24.17
248,Alicia Sintes,103030.64,29.86,-10.26,-0.28,-0.019867243272354784,0,0,0,24.17
249,Alicia Sintes,103030.25,29.89,-10.26,-0.03,-0.002326836262341203,0,0,0,24.18
